X,Y,CTYUA14CD,CTYUA14NM,CTYUA14NMW,BNG_X,BNG_Y
-0.307616119515192,51.440953255612619,E09000027,Richmond upon Thames,,517721,172687
-0.071876072313427,51.464920178501352,E09000028,Southwark,,534034,175757
-0.181218257978289,51.357704048211296,E09000029,Sutton,,526735,163640
-0.03484892202397,51.514790182158556,E09000030,Tower Hamlets,,536457,181371
-0.018679835009928,51.59839205103691,E09000031,Waltham Forest,,537327,190698
-0.193435744526039,51.452702051423984,E09000032,Wandsworth,,525624,174183
-0.163972656185856,51.511891725315301,E09000033,Westminster,,527506,180816
-0.805349284361086,51.783632948202005,E10000002,Buckinghamshire,,482506,210116
0.011610848615225,52.374726855242898,E10000003,Cambridgeshire,,537036,277091
-2.902064456314559,54.614987837874992,E10000006,Cumbria,,341842,524800
-1.601745093256632,53.118196694272974,E10000007,Derbyshire,,426752,357965
-3.770026056374037,50.723936927771014,E10000008,Devon,,275159,93085
-2.32127244701916,50.797166148838123,E10000009,Dorset,,377454,99783
0.367225533257762,50.936911702627526,E10000011,East Sussex,,566424,117942
0.636026942699774,51.794057598437405,E10000012,Essex,,581881,213887
-2.152633368244496,51.845236421295837,E10000013,Gloucestershire,,389582,216304
-1.346183636256135,51.045221017531958,E10000014,Hampshire,,445931,127522
-0.275850219865182,51.839383435234716,E10000015,Hertfordshire,,518883,217047
0.735354662212935,51.193710633859091,E10000016,Kent,,591225,147388
-2.566923897368006,53.861699889532005,E10000017,Lancashire,,362812,440758
-1.131977338391277,52.686230603838801,E10000018,Leicestershire,,458773,310191
-0.237198045537865,53.126068130870564,E10000019,Lincolnshire,,518053,360218
0.95359629108794,52.675610696787274,E10000020,Norfolk,,599779,312750
-0.838869495541808,52.310773423901445,E10000021,Northamptonshire,,479257,268708
-1.389730300317744,54.094373815929444,E10000023,North Yorkshire,,440011,466669
-1.006171995958392,53.145540498112126,E10000024,Nottinghamshire,,466570,361394
-1.290802562311478,51.815120343849152,E10000025,Oxfordshire,,448985,213181
