"HSCIC.2.2NumerTotalCostResiAndNursing","HSCIC.2.2DenomTotalWeeksSupportedResiAndNursing","HSCIC.2.2UnitCostWeeklySpendPerPersonResiAndNursing","HSCIC.2.2ANumerTotalCostResiNursingLessIncome","HSCIC.2.2ADenomTotalWeeksSupportedResiNursingExcS256","HSCIC.2.2AUnitCostWeeklySpendPerPersonResiNursingExcS256","HSCIC.2.3NumerTotalCostNursing","HSCIC.2.3DenomTotalWeeksSupportedNursing","HSCIC.2.3UnitCostWeeklySpendPerPersonNursing","HSCIC.2.4NumerTotalCostResi","HSCIC.2.4DenomTotalWeeksSupportedResi","HSCIC.2.4UnitCostWeeklySpendPerPersonResi","HSCIC.2.5NumerTotalCostResiOwnProvision","HSCIC.2.5DenomTotalWeeksSupportedResiOwnProvision","HSCIC.2.5UnitCostWeeklySpendPerPersonResiOwnProvision","HSCIC.2.6NumerTotalCostResiProvidedByOthers","HSCIC.2.6DenomTotalWeeksSupportedResiProvidedByOthers","HSCIC.2.6UnitCostWeeklySpendPerPersonResiProvidedByOthers","HSCIC.2.26NumerTotalCostHomeCare","HSCIC.2.26DenomOlderPeopleReceivingHomeCare","HSCIC.2.26UnitCostWeeklySpendPerPersonHomeCare","HSCIC.2.44NumerTotalCostDayCare","HSCIC.2.44DenomAvgClientsPerWeekDayCare","HSCIC.2.44UnitCostWeeklySpendPerPersonDayCare","HSCIC.2.31NumerTotalCostDirectPayments","HSCIC.2.31DenomOlderPeopleReceivingDirectPayments","HSCIC.2.31UnitCostWeeklySpendPerPersonDirectPayments","HSCIC.2.34ANumerTotalCostDayCare","HSCIC.2.34ADenomAvgClientsPerWeekDayCare","HSCIC.2.34AUnitCostWeeklySpendPerPersonDayCare","HSCIC.2.35NumerTotalCostDayCareOwnProvision","HSCIC.2.35DenomAvgClientsPerWeekDayCareOwnProvision","HSCIC.2.35UnitCostWeeklySpendPerPersonDayCareOwnProvision","HSCIC.2.36NumerTotalCostDayCareProvidedByOthers","HSCIC.2.36DenomTotalCostDayCareProvidedByOthers","HSCIC.2.36UnitCostWeeklySpendPerPersonDayCareProvidedByOthers","HSCIC.2.56NumerTotalCostProvidingMeals","HSCIC.2.56DenomNumberReceivingMeals","HSCIC.2.56AvgWeeklySpendPerPersonMeals","HSCICMaster$HSCIC.Year","HSCICMaster$ONS.LA.Code","HSCICMaster$ONS.LA.Name"
99763,176306,565.9,96718,176306,548.6,39081,70198,556.7,60682,106108,571.9,7781,7896,985.4,52901,98212,538.6,47647,4120,222.4,4354,470,178.2,5423,445,233.8,4354,480,175.2,3779,355,205.3,575,125,89.2,0,0,NA,"2013-14","E08000025","Birmingham"
26162,44771,584.3,23516,44771,525.3,7571,10183,743.5,18591,34588,537.5,2655,3452,769.2,15935,31136,511.8,19695,1310,288.9,1035,180,109.4,2545,180,273.4,1035,215,93.4,831,105,155.2,204,110,35.6,125,55,42.2,"2013-14","E08000026","Coventry"
32096,58381,549.8,28108,58381,481.5,7231,14994,482.2,24865,43387,573.1,6471,3578,1808.5,18394,39809,462.1,15703,1505,200.8,1846,170,210,1577,220,137.9,1846,235,151.7,1712,185,177.1,133,50,53.4,0,0,NA,"2013-14","E08000027","Dudley"
26886,59668,450.6,26885,59668,450.6,10801,25698,420.3,16085,33970,473.5,860,811,1060.4,15225,33159,459.2,12088,950,244.2,1669,190,170.7,4874,480,194.5,1669,215,150.7,717,80,168.2,952,130,139.8,331,205,31.2,"2013-14","E08000028","Sandwell"
14422,28667,503.1,12465,28667,434.8,5664,10439,542.6,8758,18228,480.5,198,541,365.3,8560,17687,484,9497,685,266.2,2180,215,195,2817,275,195.6,2180,255,165.7,904,125,136.9,1276,125,194.8,0,0,NA,"2013-14","E08000029","Solihull"
18827,37353,504,14521,37353,388.8,6001,11983,500.8,12826,25370,505.6,1771,1092,1621.8,11055,24278,455.4,11441,510,429.7,2185,80,531.9,2332,270,164.9,2185,110,385.5,2075,15,2494,110,95,22.7,0,0,NA,"2013-14","E08000030","Walsall"
27945,49848,560.6,23688,49757,476.1,5861,12121,483.5,22084,37727,585.4,6310,6208,1016.4,15774,31519,500.5,7439,745,192.3,1340,315,82.1,2785,255,209.2,1340,405,63.6,701,135,100.7,639,270,45.3,62,0,NA,"2013-14","E08000031","Wolverhampton"
66595,144012,462.4,65630,144012,455.7,22129,52643,420.4,44466,91369,486.7,7593,8069,941,36873,83300,442.7,37864,3820,190.7,5678,500,218.8,7364,910,156,5678,680,160.3,4479,240,361.9,1199,445,52,551,635,16.7,"2013-14","E10000028","Staffordshire"
31457,58417,538.5,31162,58365,533.9,12751,21451,594.4,18706,36966,506,3480,2128,1635.3,15226,34838,437.1,9314,1200,149.4,1220,220,106.2,1162,105,208.8,1220,220,107.6,541,50,216.7,679,170,76.8,110,315,6.7,"2013-14","E06000021","Stoke-on-Trent"
21331,35261,604.9,20747,35261,588.4,8977,14233,630.7,12354,21028,587.5,0,0,NA,12354,21028,587.5,8240,795,199.8,1343,160,162.4,1595,90,348.6,1343,130,198.7,140,10,336.5,1203,120,189.6,0,0,NA,"2013-14","E06000019","Herefordshire, County of"
46523,95972,484.8,45926,95972,478.5,18310,38335,477.6,28213,57637,489.5,3277,2935,1116.5,24936,54702,455.9,22055,1705,248.8,1445,195,143.2,3966,310,247.6,1445,225,124.6,539,55,185.1,906,165,104.3,428,140,58.8,"2013-14","E10000034","Worcestershire"
32026,66654,480.5,26289,66654,394.4,14305,27478,520.6,17721,39176,452.3,20,82,246.7,17701,39094,452.8,9412,715,253.1,1300,155,160.2,1569,410,73.3,1300,155,163.4,886,80,213,414,75,109.1,64,165,7.5,"2013-14","E06000051","Shropshire"
14991,30036,499.1,14226,30036,473.6,7362,14404,511.1,7629,15632,488,214,213,1004.7,7415,15419,480.9,9354,670,268.1,576,120,90.8,803,80,198,576,115,94.7,0,0,NA,576,115,94.7,115,95,22.8,"2013-14","E06000020","Telford and Wrekin"
71694,163937,437.3,71564,163937,436.5,19355,43830,441.6,52339,120107,435.8,0,0,NA,52339,120107,435.8,27682,3100,171.8,902,210,83.4,4384,500,168.6,902,420,41.5,110,75,27.5,792,340,44.7,0,0,NA,"2013-14","E10000019","Lincolnshire"
61161,120399,508,55081,120399,457.5,16520,29121,567.3,44641,91278,489.1,0,0,NA,44641,91278,489.1,19604,1840,204.9,1523,300,98.3,4778,420,219.8,1523,320,91,0,0,NA,1523,320,91,758,305,48.1,"2013-14","E10000021","Northamptonshire"
83364,160598,519.1,81600,160588,508.1,20776,45946,452.2,62588,114652,545.9,25137,33612,747.9,37451,81040,462.1,44024,4665,181.4,3999,950,81,5940,575,198.3,3999,1260,61,2777,795,67,1222,465,50.6,216,175,24,"2013-14","E10000007","Derbyshire"
23801,49533,480.5,23554,49273,478,8457,19410,435.7,15344,30123,509.4,6914,10768,642.1,8430,19355,435.5,11071,915,232.7,1007,135,144.5,1232,145,164.5,1007,220,88,1007,175,111.3,0,45,0,65,80,15.4,"2013-14","E06000015","Derby"
52936,106414,497.5,52013,106414,488.8,8580,16545,518.6,44356,89869,493.6,950,1522,624.2,43406,88347,491.3,26943,2770,187.2,2177,310,134.6,5766,595,186.7,2177,495,84.7,1021,185,105,1156,305,72.4,734,185,75.5,"2013-14","E10000018","Leicestershire"
28583,52582,543.6,27086,52340,517.5,3501,7117,491.9,25083,45465,551.7,10893,10824,1006.4,14190,34641,409.6,9671,1630,114,2630,415,121.3,4037,500,154.7,2630,605,83.3,1023,50,378.4,1607,555,55.7,550,165,63.7,"2013-14","E06000016","Leicester"
2801,5804,482.6,2603,5804,448.5,534,1140,468.4,2267,4664,486.1,0,0,NA,2267,4664,486.1,1355,90,296.1,77,35,41.1,200,50,76.9,77,50,29.6,0,0,NA,77,50,29.6,48,20,48.6,"2013-14","E06000017","Rutland"
93770,180346,519.9,89532,180346,496.4,24651,43566,565.8,69120,136780,505.3,8963,12125,739.2,60157,124655,482.6,24595,3630,130.2,4004,955,80.6,12513,1265,189.9,4004,905,85.2,3492,655,102.5,512,250,39.5,2622,1220,41.3,"2013-14","E10000024","Nottinghamshire"
26836,52855,507.7,25286,52855,478.4,6435,12879,499.7,20401,39976,510.3,4767,5197,917.3,15634,34779,449.5,15737,1425,212.4,2835,360,151,2648,250,202.9,2835,440,123.3,2375,345,132.8,460,100,90.3,319,275,22.3,"2013-14","E06000018","Nottingham"
96676,176736,547,95380,176457,540.5,25038,49158,509.3,71638,127578,561.5,0,0,NA,71638,127578,561.5,37317,4590,156.3,5733,1020,108.1,5836,475,236.3,5733,1065,103.4,3334,475,134.7,2399,590,78.2,3457,2025,32.8,"2013-14","E10000015","Hertfordshire"
105992,202174,524.3,98027,202174,484.9,12390,23096,536.5,93602,179078,522.7,0,0,NA,93602,179078,522.7,33796,4015,162,6967,815,164.2,10797,890,233.6,6967,790,170,1902,265,139.1,5065,525,185.5,0,0,NA,"2013-14","E10000020","Norfolk"
61817,92988,664.8,54944,92988,590.9,36569,52344,698.6,25248,40644,621.2,0,0,NA,25248,40644,621.2,21178,1980,205.7,3736,870,82.8,9473,810,224.4,3736,2020,35.6,3692,905,78.5,44,1115,0.8,215,80,51.7,"2013-14","E10000025","Oxfordshire"
83536,130320,641,82880,130320,636,19934,38139,522.7,63602,92181,690,8909,0,NA,54693,92181,593.3,40305,2820,275.1,2940,365,154.9,5684,320,343.7,2940,765,74,878,0,NA,2062,765,51.9,1724,370,89.1,"2013-14","E10000029","Suffolk"
12661,25030,505.8,12661,25030,505.8,3969,6449,615.5,8691,18581,467.8,0,0,NA,8691,18581,467.8,8251,535,296.6,1627,175,176.7,2067,275,145.1,1627,225,140.3,1618,220,142.7,9,5,33.8,175,115,29.3,"2013-14","E06000032","Luton"
38709,66492,582.2,38541,66492,579.6,17587,32281,544.8,21122,34211,617.4,0,0,NA,21122,34211,617.4,17019,1540,212.4,2759,145,360.9,5076,395,248.4,2759,495,106.8,634,70,179.3,2125,430,95.3,913,830,21.2,"2013-14","E10000002","Buckinghamshire"
15317,27497,557,15066,27497,547.9,5217,6766,771.1,10100,20731,487.2,0,0,NA,10100,20731,487.2,10686,885,231.9,993,195,97.9,1136,455,48.2,993,145,129.9,890,50,329.2,103,95,20.9,29,70,8.2,"2013-14","E06000042","Milton Keynes"
8533,14160,602.6,8515,14160,601.3,4224,6861,615.7,4309,7299,590.3,1266,2529,500.5,3043,4770,637.9,4831,405,230.5,475,45,203,788,55,270.6,475,55,174,224,20,219.8,251,35,146.7,0,0,NA,"2013-14","E06000036","Bracknell Forest"
13557,20192,671.4,13525,20192,669.8,5197,7991,650.4,8360,12201,685.2,3921,5640,695.2,4439,6561,676.6,6387,535,230,1166,105,213.6,710,70,197.9,1166,100,219.8,958,65,283.4,208,35,108.1,0,0,NA,"2013-14","E06000037","West Berkshire"
13371,17601,759.7,12951,17431,743,5297,7297,725.9,8074,10303,783.7,1870,1571,1190.4,6204,8732,710.5,6255,605,198.5,707,140,97.9,654,65,187.6,707,135,100.8,669,120,109,38,15,43.4,173,40,85.3,"2013-14","E06000038","Reading"
10063,15317,657,10063,15317,657,5280,7577,696.8,4783,7740,618,0,0,NA,4783,7740,618,8435,405,398.6,1377,85,304.4,0,50,0,1377,310,85.1,452,110,79,925,200,88.5,95,25,70.3,"2013-14","E06000039","Slough"
9856,17934,549.6,9653,17934,538.3,5350,9356,571.8,4506,8578,525.3,150,104,1442.3,4356,8474,514,3420,335,195.7,551,95,110.4,721,80,169.1,551,105,101.9,496,100,94.4,55,5,352.6,42,15,47.5,"2013-14","E06000040","Windsor and Maidenhead"
12611,17153,735.2,12124,17153,706.8,6259,8105,772.2,6352,9048,702,0,0,NA,6352,9048,702,5151,315,313.5,965,110,171.8,647,90,139.9,965,105,173.4,0,0,NA,965,105,173.4,99,50,38.9,"2013-14","E06000041","Wokingham"
144158,268188,537.5,137727,265094,519.5,18061,31917,565.9,126097,236271,533.7,596,364,1637.4,125501,235907,532,56896,5000,218.8,7158,700,196.4,12713,855,285.9,7158,620,222.4,0,0,NA,7158,620,222.4,1616,800,38.7,"2013-14","E10000012","Essex"
16770,30765,545.1,16770,30765,545.1,254,435,583.8,16516,30330,544.5,1871,2439,767.4,14645,27891,525.1,5746,925,119.5,665,160,79.9,1988,210,182.9,665,190,67.6,363,100,69.6,302,90,65.3,279,190,28.4,"2013-14","E06000033","Southend-on-Sea"
11430,24775,461.3,9282,24255,382.7,1071,1445,741.2,10359,23330,444,1079,2178,495.2,9280,21152,438.7,4736,410,221.6,1270,130,189.4,848,60,276.3,1270,135,183.7,1219,125,187.6,51,10,122.6,321,185,33.2,"2013-14","E06000034","Thurrock"
41904,86159,486.4,41579,85846,484.3,17342,31183,556.1,24562,54976,446.8,0,0,NA,24562,54976,446.8,29694,2465,231.8,1553,355,83.7,4906,390,243.2,1553,465,64,505,130,75.3,1048,340,59.6,0,0,NA,"2013-14","E10000003","Cambridgeshire"
8219,17611,466.7,7532,17611,427.7,2250,4320,520.8,5969,13291,449.1,0,0,NA,5969,13291,449.1,8779,1025,164.5,966,130,142.9,1064,105,196.7,966,150,122.2,872,115,147.1,94,40,47.6,168,110,29.6,"2013-14","E06000031","Peterborough"
14650,26874,545.1,13068,26874,486.3,2972,5455,544.8,11678,21419,545.2,1169,2382,490.8,10509,19037,552,5438,565,185.1,1615,190,163.5,1063,80,252.4,1615,275,113.3,1293,185,135.9,322,90,68,73,70,20.1,"2013-14","E06000055","Bedford"
20535,38606,531.9,20005,38606,518.2,5185,10040,516.4,15350,28566,537.3,0,0,NA,15350,28566,537.3,10169,885,221.5,1937,300,124.2,1834,155,229,1937,390,96,1776,370,92.8,161,20,155.3,201,80,48.4,"2013-14","E06000056","Central Bedfordshire"
19590,30421,644,19589,30287,646.8,4777,9686,493.2,14813,20735,714.4,7380,4584,1609.9,7433,16151,460.2,8060,970,159.8,2259,295,146.3,3249,325,192.2,2259,295,148.3,1633,165,190.3,626,130,94.1,0,0,NA,"2013-14","E09000007","Camden"
18094,28042,645.2,15368,28042,548,6370,11182,569.7,11724,16860,695.4,0,0,NA,11724,16860,695.4,12732,1100,222.8,1090,230,91.9,2517,270,178.6,1090,225,93.6,0,0,NA,1090,225,93.6,135,105,25.2,"2013-14","E09000011","Greenwich"
11662,18024,647,11652,18024,646.5,3417,5486,622.9,8245,12538,657.6,0,0,NA,8245,12538,657.6,16529,880,362,2494,160,299.8,1462,115,240.3,2494,170,280.5,2462,155,303.5,32,15,41,664,135,93.2,"2013-14","E09000012","Hackney"
12647,18960,667,10569,18960,557.4,9388,13385,701.4,3259,5575,584.6,0,0,NA,3259,5575,584.6,10054,895,215.5,1220,120,198.8,1732,165,200.6,1220,120,198.8,1220,120,198.8,0,0,NA,450,105,81.6,"2013-14","E09000013","Hammersmith and Fulham"
17781,29158,609.8,16375,29054,563.6,6947,11759,590.8,10834,17399,622.7,0,0,NA,10834,17399,622.7,9263,1065,167.3,2460,220,216,1484,185,155.1,2460,605,78.5,1477,110,263,983,495,38.2,0,0,NA,"2013-14","E09000019","Islington"
14189,14677,966.7,13460,14569,923.9,2339,3593,651,11849,11084,1069,4484,2126,2109.3,7365,8958,822.2,5228,735,137,948,105,176.9,916,170,103,948,115,161.3,498,35,265.8,450,75,112.4,361,165,42.6,"2013-14","E09000020","Kensington and Chelsea"
22204,41900,529.9,22204,41900,529.9,11832,17680,669.2,10372,24220,428.2,0,0,NA,10372,24220,428.2,13017,1275,196.5,1550,245,121.2,1981,160,241.1,1550,235,126.3,1534,235,125.5,17,0,320.4,837,200,80.5,"2013-14","E09000022","Lambeth"
20875,32158,649.1,20156,32158,626.8,10543,15107,697.9,10332,17051,606,0,0,NA,10332,17051,606,12003,1170,197.5,2881,225,246.2,3152,235,255.8,2881,225,246.2,1013,45,442.8,1868,180,198.5,412,230,34.5,"2013-14","E09000023","Lewisham"
16634,31230,532.6,16634,31230,532.6,7242,13990,517.7,9392,17240,544.8,0,0,NA,9392,17240,544.8,7629,1125,130.6,1471,100,277.3,4183,395,203.1,1471,350,80.6,1471,225,125.7,0,125,0,358,255,27,"2013-14","E09000028","Southwark"
11452,22563,507.6,10466,22274,469.9,3539,6335,558.6,7913,16228,487.6,0,0,NA,7913,16228,487.6,16164,1225,254.2,2482,220,216,2423,265,177.1,2482,190,248.6,1818,80,431.6,664,110,115,882,375,45.5,"2013-14","E09000030","Tower Hamlets"
22164,32444,683.1,17876,32444,551,12251,17147,714.5,9913,15297,648,0,0,NA,9913,15297,648,8627,940,176.3,1840,180,194.4,1808,120,289.7,1840,125,278.6,302,15,446.7,1538,115,259.4,32,20,28,"2013-14","E09000032","Wandsworth"
22837,30349,752.5,20492,28454,720.2,8296,13672,606.8,14541,16677,871.9,3479,3753,927,11062,12924,855.9,12135,955,244.4,910,135,127.7,2155,135,304.7,910,155,113.6,23,5,110.6,887,150,113.7,518,185,54.4,"2013-14","E09000033","Westminster"
650,1217,534.1,646,1150,561.7,224,413,542.4,426,804,529.9,0,0,NA,426,804,529.9,0,15,0,0,0,NA,37,35,19.2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,"2013-14","E09000001","City of London"
11974,23137,517.5,11974,22777,525.7,3995,8316,480.3,7980,14821,538.4,1501,1824,823,6479,12997,498.5,3321,345,185.1,861,105,159.2,5023,495,195.9,861,85,197,209,40,105.5,652,45,272.7,0,0,NA,"2013-14","E09000002","Barking and Dagenham"
25698,44119,582.5,24722,44119,560.3,6903,12850,537.2,18795,31270,601.1,0,0,NA,18795,31270,601.1,8818,1065,159.5,1800,200,171.4,5710,485,225.5,1800,200,171.4,57,10,91.3,1743,190,176.4,563,235,45.9,"2013-14","E09000003","Barnet"
17802,30110,591.2,16821,30110,558.7,6929,12119,571.7,10873,17991,604.4,0,0,NA,10873,17991,604.4,6416,745,165.6,1368,165,159.4,723,50,278.1,1368,165,159.4,0,0,NA,1368,165,159.4,0,0,NA,"2013-14","E09000004","Bexley"
18652,35186,530.1,17989,34978,514.3,8474,17682,479.2,10178,17504,581.5,0,0,NA,10178,17504,581.5,9680,1065,174.6,1004,200,96.1,1578,250,120.9,1004,150,127.9,580,50,214.5,424,100,82.4,352,40,178.1,"2013-14","E09000005","Brent"
20801,33355,623.6,20527,33132,619.6,9312,14416,645.9,11489,18939,606.6,76,52,1461.5,11413,18887,604.3,10620,1235,165.6,2870,460,119.5,1646,135,232.7,2870,710,78,1766,0,NA,1104,710,30,0,0,NA,"2013-14","E09000006","Bromley"
27470,38139,720.3,24584,38139,644.6,8625,16908,510.1,18845,21231,887.6,0,0,NA,18845,21231,887.6,12213,1575,149.2,1136,455,47.8,865,150,110.2,1136,465,47.1,1118,420,51.2,18,45,7.9,1010,1085,17.9,"2013-14","E09000008","Croydon"
26470,39217,675,20639,39115,527.6,11163,15984,698.4,15307,23233,658.8,0,0,NA,15307,23233,658.8,13378,1370,188.1,1056,295,68.4,3602,240,287.5,1056,370,54.9,1056,370,54.9,0,0,NA,16,15,18.6,"2013-14","E09000009","Ealing"
28685,43952,652.6,28576,43275,660.3,7555,11894,635.2,21130,32058,659.1,4901,4923,995.6,16229,27136,598,9155,660,266.8,1649,250,127.4,7927,650,234.5,1649,310,102.6,1189,225,100.7,460,80,107.9,4,5,11.3,"2013-14","E09000010","Enfield"
21016,30462,689.9,20251,30046,674,6993,9231,757.5,14023,21231,660.5,0,0,NA,14023,21231,660.5,8834,765,221.8,1584,190,158.7,3376,265,245.9,1584,210,143.7,1251,155,153.3,333,55,116.5,354,130,53.1,"2013-14","E09000014","Haringey"
13366,22707,588.6,11154,22707,491.2,5261,9467,555.7,8105,13240,612.2,808,499,1619.2,7297,12741,572.7,2127,260,158.5,1234,210,112.5,5299,580,176.3,1234,250,95,571,125,88.2,663,125,101.7,541,100,105.1,"2013-14","E09000015","Harrow"
19085,34426,554.4,18141,34426,527,6164,11312,544.9,12921,23114,559,0,0,NA,12921,23114,559,8711,985,169.7,957,165,112.2,3752,435,165.5,957,205,90.7,155,25,114.6,802,175,87.1,0,0,NA,"2013-14","E09000016","Havering"
17605,28911,608.9,17266,28911,597.2,6833,11600,589,10772,17311,622.3,732,583,1255.1,10041,16728,600.2,11855,1365,167,1637,175,178.8,983,90,205.4,1637,240,131.2,1518,225,129.2,119,15,162.8,482,250,37.2,"2013-14","E09000017","Hillingdon"
14419,22228,648.7,13608,22228,612.2,5033,8262,609.2,9386,13966,672.1,4540,6456,703.2,4846,7510,645.3,7583,770,189.4,681,75,174.6,2396,260,177.9,681,150,88.5,488,85,110.4,193,65,58.9,209,90,44.2,"2013-14","E09000018","Hounslow"
12873,18271,704.6,12109,18025,671.8,4080,8568,476.2,8793,9703,906.2,4801,4073,1178.7,3992,5630,709.1,4656,375,239.4,1705,50,642.9,1618,95,320.8,1705,35,910.8,407,5,1565.4,1298,30,805.2,430,140,58.2,"2013-14","E09000021","Kingston upon Thames"
14987,25594,585.6,13476,25594,526.5,7117,10727,663.5,7870,14867,529.4,0,0,NA,7870,14867,529.4,6877,580,228.8,1313,170,146.8,2606,215,234.2,1313,320,79.4,676,140,94.2,637,180,68.1,328,140,44.4,"2013-14","E09000024","Merton"
12641,23643,534.7,10886,23643,460.4,5121,9792,522.9,7520,13851,543,0,0,NA,7520,13851,543,7893,1065,142.8,2429,320,145.1,3330,330,194.6,2429,320,146.1,1910,170,218,518,150,65.9,0,0,NA,"2013-14","E09000025","Newham"
20025,32671,612.9,19933,32671,610.1,5876,10670,550.7,14149,22001,643.1,0,0,NA,14149,22001,643.1,10671,895,229,2293,275,160.9,2174,630,66.3,2293,270,162.7,2256,250,173.5,37,20,33.9,918,410,43.2,"2013-14","E09000026","Redbridge"
18425,23850,772.5,18271,23850,766.1,5928,9318,636.2,12497,14532,860,597,313,1907.3,11900,14219,836.9,4470,440,196.3,1944,90,415.4,2528,135,354.9,1944,100,373.8,1944,100,373.8,0,0,NA,159,95,32.9,"2013-14","E09000027","Richmond upon Thames"
8749,16326,535.9,8700,16274,534.6,3762,7323,513.7,4987,9003,553.9,0,0,NA,4987,9003,553.9,5678,460,236.9,205,30,131.4,817,175,88.8,205,45,91.7,0,0,NA,205,45,91.7,0,0,NA,"2013-14","E09000029","Sutton"
14827,19633,755.2,14313,19633,729,3539,5886,601.3,11288,13747,821.1,5736,5271,1088.2,5552,8476,655,8167,625,251.7,800,190,81.4,2305,205,218.4,800,110,139.9,800,110,139.9,0,0,NA,213,90,45.5,"2013-14","E09000031","Waltham Forest"
21410,42120,508.3,19547,42120,464.1,4568,8170,559.1,16842,33950,496.1,2188,2316,944.6,14654,31634,463.2,5323,580,175.9,331,60,107.8,1613,175,175.3,331,90,69.9,274,75,72.2,57,20,60.5,0,0,NA,"2013-14","E06000046","Isle of Wight"
102370,165585,618.2,99787,164153,607.9,35700,68576,520.6,66670,97009,687.3,10068,10583,951.3,56602,86426,654.9,46374,3590,248.3,3133,540,111.2,13028,960,261.3,3133,410,146.6,245,120,39.3,2888,290,190.8,0,0,NA,"2013-14","E10000030","Surrey"
77425,143967,537.8,76485,142921,535.2,25696,47789,537.7,51729,96179,537.8,1869,2131,877,49860,94048,530.2,16698,1825,176.1,3874,530,140.6,5067,395,245.4,3874,530,140.6,2555,360,136.1,1319,170,150.1,1297,850,29.4,"2013-14","E10000032","West Sussex"
52376,77926,672.1,49079,77926,629.8,8507,14922,570.1,43869,63004,696.3,15474,16523,936.5,28395,46481,610.9,14395,1245,222.2,4236,695,117.4,2824,250,219,4236,610,133.5,4208,605,133.3,28,5,179.5,0,0,NA,"2013-14","E10000009","Dorset"
21505,42767,502.8,20486,42767,479,4191,7775,539,17314,34992,494.8,1616,737,2192.7,15698,34255,458.3,6463,525,235.8,1877,215,169.5,1397,100,271.4,1877,240,149.2,1856,240,150,21,5,101,15,5,41.2,"2013-14","E06000028","Bournemouth"
13625,21491,634,12289,21491,571.8,2495,3874,644,11130,17616,631.8,0,0,NA,11130,17616,631.8,9244,700,253.2,1726,165,201.1,1119,90,233.8,1726,175,190.7,1303,145,171.6,423,30,290.2,0,0,NA,"2013-14","E06000029","Poole"
138516,213399,649.1,132585,213137,622.1,69831,102168,683.5,68685,111231,617.5,21850,22151,986.4,46835,89080,525.8,51390,4385,225.4,5923,720,158.6,5335,390,264.4,5923,695,164.4,3232,220,280,2691,470,109.9,1161,880,25.4,"2013-14","E10000014","Hampshire"
18749,31380,597.5,16474,31380,525,5698,10720,531.6,13051,20660,631.7,6822,7352,927.9,6228,13308,468,4507,790,110,1029,180,110.6,1111,135,156,1029,215,91.2,854,170,97.7,175,50,68.9,0,0,NA,"2013-14","E06000044","Portsmouth"
20633,37420,551.4,18630,37420,497.9,7767,15194,511.2,12866,22226,578.9,6209,6295,986.3,6657,15931,417.9,11399,1270,172.6,1054,215,94.3,1061,100,208.2,1054,255,79.2,0,0,NA,1054,255,79.2,249,225,21.2,"2013-14","E06000045","Southampton"
79010,122493,645,61558,122493,502.5,27324,49012,557.5,51686,73481,703.4,5577,3278,1701.3,46109,70203,656.8,22969,2080,212.6,5005,455,212,8844,940,181.1,5005,540,177.6,4131,415,191.4,874,125,132.3,1033,680,29.1,"2013-14","E10000011","East Sussex"
30661,51114,599.9,26432,51114,517.1,11606,20815,557.6,19055,30299,628.9,5711,4264,1339.4,13344,26035,512.5,11746,860,262,842,140,116.5,1540,110,266.8,842,175,93.6,842,175,93.6,0,0,NA,406,45,166.1,"2013-14","E06000043","Brighton and Hove"
44904,79038,568.1,43814,79038,554.3,17920,33103,541.3,26984,45935,587.4,0,0,NA,26984,45935,587.4,10170,1565,124.8,859,120,138.8,5816,420,265,859,205,81.4,0,0,NA,859,205,81.4,0,0,NA,"2013-14","E06000054","Wiltshire"
15419,28559,539.9,15120,28559,529.4,5265,10493,501.8,10154,18066,562.1,0,0,NA,10154,18066,562.1,8052,670,231.1,1095,170,124.6,665,75,168.3,1095,160,132.4,0,0,NA,1095,160,132.4,0,0,NA,"2013-14","E06000030","Swindon"
140122,267210,524.4,137109,267210,513.1,42997,81932,524.8,97125,185278,524.2,17145,15029,1140.8,79980,170250,469.8,48214,5130,180.7,3768,595,122.2,8103,780,199.5,3768,450,160.3,2501,265,181.5,1267,185,130.3,1208,395,59,"2013-14","E10000016","Kent"
20178,39084,516.3,19003,39084,486.2,6021,13615,442.2,14157,25469,555.9,0,0,NA,14157,25469,555.9,7402,1060,134.3,760,235,62.2,1369,125,208.9,760,225,65,0,0,NA,760,225,65,138,145,18.3,"2013-14","E06000035","Medway"
42377,92822,456.5,40585,90619,447.9,13966,28050,497.9,28411,64772,438.6,0,0,NA,28411,64772,438.6,31974,2840,216.4,2298,345,127.4,2868,220,248.4,2298,365,121.1,1574,145,211.7,724,220,62.7,20,15,25.6,"2013-14","E06000052","Cornwall"
61312,106052,578.1,57832,106052,545.3,27187,47542,571.9,34125,58510,583.2,1980,496,3991.9,32145,58014,554.1,21967,1580,267.2,1355,245,105.5,1588,245,124.1,1355,245,106.8,467,70,126.5,888,175,98.7,368,945,7.5,"2013-14","E10000013","Gloucestershire"
56808,113224,501.7,55545,113224,490.6,26300,51680,508.9,30508,61544,495.7,1127,678,1662.9,29380,60866,482.7,20408,2620,149.7,1375,560,47.1,2324,335,134.2,1375,565,46.8,108,0,NA,1267,565,43.1,0,0,NA,"2013-14","E10000027","Somerset"
570,597,954.8,343,597,574.5,0,0,NA,570,597,954.8,547,545,1003.7,23,52,442.3,35,10,84.1,0,0,0,6,0,NA,0,0,0,0,0,0,0,0,NA,16,10,34.2,"2013-14","E06000053","Isles of Scilly"
24069,37720,638.1,23330,37437,623.2,11223,20636,543.8,12846,17084,751.9,0,0,NA,12846,17084,751.9,4937,540,176.5,98,45,40.1,1440,95,285.5,98,45,41.9,0,0,NA,98,45,41.9,106,160,12.8,"2013-14","E06000022","Bath and North East Somerset"
