"HSCIC.2.2NumerTotalCostResiAndNursing","HSCIC.2.2DenomTotalWeeksSupportedResiAndNursing","HSCIC.2.2UnitCostWeeklySpendPerPersonResiAndNursing","HSCIC.2.2ANumerTotalCostResiNursingLessIncome","HSCIC.2.2ADenomTotalWeeksSupportedResiNursingExcS256","HSCIC.2.2AUnitCostWeeklySpendPerPersonResiNursingExcS256","HSCIC.2.3NumerTotalCostNursing","HSCIC.2.3DenomTotalWeeksSupportedNursing","HSCIC.2.3UnitCostWeeklySpendPerPersonNursing","HSCIC.2.4NumerTotalCostResi","HSCIC.2.4DenomTotalWeeksSupportedResi","HSCIC.2.4UnitCostWeeklySpendPerPersonResi","HSCIC.2.5NumerTotalCostResiOwnProvision","HSCIC.2.5DenomTotalWeeksSupportedResiOwnProvision","HSCIC.2.5UnitCostWeeklySpendPerPersonResiOwnProvision","HSCIC.2.6NumerTotalCostResiProvidedByOthers","HSCIC.2.6DenomTotalWeeksSupportedResiProvidedByOthers","HSCIC.2.6UnitCostWeeklySpendPerPersonResiProvidedByOthers","HSCIC.2.26NumerTotalCostHomeCare","HSCIC.2.26DenomOlderPeopleReceivingHomeCare","HSCIC.2.26UnitCostWeeklySpendPerPersonHomeCare","HSCIC.2.44NumerTotalCostDayCare","HSCIC.2.44DenomAvgClientsPerWeekDayCare","HSCIC.2.44UnitCostWeeklySpendPerPersonDayCare","HSCIC.2.31NumerTotalCostDirectPayments","HSCIC.2.31DenomOlderPeopleReceivingDirectPayments","HSCIC.2.31UnitCostWeeklySpendPerPersonDirectPayments","HSCIC.2.34ANumerTotalCostDayCare","HSCIC.2.34ADenomAvgClientsPerWeekDayCare","HSCIC.2.34AUnitCostWeeklySpendPerPersonDayCare","HSCIC.2.35NumerTotalCostDayCareOwnProvision","HSCIC.2.35DenomAvgClientsPerWeekDayCareOwnProvision","HSCIC.2.35UnitCostWeeklySpendPerPersonDayCareOwnProvision","HSCIC.2.36NumerTotalCostDayCareProvidedByOthers","HSCIC.2.36DenomTotalCostDayCareProvidedByOthers","HSCIC.2.36UnitCostWeeklySpendPerPersonDayCareProvidedByOthers","HSCIC.2.56NumerTotalCostProvidingMeals","HSCIC.2.56DenomNumberReceivingMeals","HSCIC.2.56AvgWeeklySpendPerPersonMeals","HSCICMaster$HSCIC.Year","HSCICMaster$ONS.LA.Code","HSCICMaster$ONS.LA.Name"
18881,39895,473.3,16544,39895,414.7,6844,16414,417,12037,23481,512.6,2897,1481,1956.1,9140,22000,415.5,9686,1200,155,975,215,88,2017,210,186.5,975,265,70.5,962,265,70.1,13,0,125,0,0,NA,"2013-14","E08000013","St. Helens"
33395,77266,432.2,32968,74923,440,13384,30904,433.1,20011,46362,431.6,204,214,953.3,19807,46148,429.2,10630,1270,160.8,1288,215,116.3,1276,165,150.5,1288,270,92.4,580,55,210.4,708,215,63.3,67,0,NA,"2013-14","E08000015","Wirral"
13703,29272,468.1,8895,29272,303.9,3413,6959,490.4,10290,22313,461.2,901,1443,624.2,9389,20870,449.9,5851,635,176.9,808,90,174.6,258,35,137.7,808,220,70.3,785,215,70.3,23,5,72.8,247,185,25.6,"2013-14","E06000006","Halton"
24768,45287,546.9,23660,45287,522.4,12618,20249,623.1,12150,25038,485.3,1634,1886,866.4,10516,23152,454.2,5794,920,121.4,504,225,43.5,493,60,155.4,504,165,59.5,286,120,46.2,218,45,95.3,32,110,5.5,"2013-14","E06000007","Warrington"
116278,257315,451.9,108802,257315,422.8,26002,54804,474.4,90276,202511,445.8,10495,23726,442.3,79781,178785,446.2,48593,5385,173.5,6656,970,131.8,5351,545,189.5,6656,970,132.1,2364,560,81.3,4292,410,201.3,212,165,24.7,"2013-14","E10000017","Lancashire"
12341,31442,392.5,12016,31442,382.2,1125,4161,270.4,11216,27281,411.1,3082,2668,1155.2,8134,24613,330.5,3394,615,105.8,1101,95,218.3,2117,75,535.7,1101,100,216.1,489,25,408.9,612,75,156.9,0,0,NA,"2013-14","E06000008","Blackburn with Darwen"
18069,41618,434.2,17380,41618,417.6,2549,5904,431.7,15520,35714,434.6,1787,1661,1075.9,13733,34053,403.3,6383,955,128.5,730,160,88.3,971,135,139.4,730,270,52.2,505,85,114.3,225,185,23.5,0,0,0,"2013-14","E06000009","Blackpool"
35355,72065,490.6,35152,72065,487.8,16616,34742,478.3,18739,37323,502.1,3670,3029,1211.7,15069,34294,439.4,9561,835,220.7,1336,155,166.8,6572,365,348.2,1336,190,135.9,1259,180,136,77,10,134.5,0,0,NA,"2013-14","E06000049","Cheshire East"
29816,65201,457.3,27149,65201,416.4,13553,30122,449.9,16262,35079,463.6,2963,3724,795.6,13299,31355,424.2,9576,790,233.1,2507,290,165.1,4456,810,106.1,2507,400,119.9,2072,300,132.8,435,100,82.1,0,0,NA,"2013-14","E06000050","Cheshire West and Chester"
46015,87008,528.9,44597,87008,512.6,10824,23131,467.9,35191,63877,550.9,0,0,NA,35191,63877,550.9,24832,2030,235.5,1318,370,68.9,3676,390,181.7,1318,325,77.5,0,0,NA,1318,325,77.5,218,815,5.1,"2013-14","E10000031","Warwickshire"
