ONS.LA.Code,ONS.LA.Name,65_74_Nursing,75_84_Nursing,85_pl_Nursing,65_74_Res,75_84_Res,85_pl_Res
E10000014,Hampshire,220,615,985,245,550,1180
E10000015,Hertfordshire,110,305,460,265,600,1345
E10000016,Kent,165,445,745,425,835,1645
E10000017,Lancashire,185,375,450,390,1050,2045
E10000018,Leicestershire,35,100,140,150,360,885
E10000019,Lincolnshire,140,270,385,230,545,1210
E10000020,Norfolk,90,125,175,350,835,1760
E10000021,Northamptonshire,75,215,280,165,445,980
E10000023,North Yorkshire,90,190,295,120,310,665
E10000024,Nottinghamshire,130,305,360,235,560,1245
E10000025,Oxfordshire,120,255,415,55,180,405
E10000027,Somerset,120,280,545,135,305,630
E10000028,Staffordshire,155,295,405,170,395,840
E10000029,Suffolk,90,205,295,160,440,930
E10000030,Surrey,120,370,750,90,350,940
E10000031,Warwickshire,45,125,220,125,295,730
E10000032,West Sussex,105,300,470,210,465,1000
E10000034,Worcestershire,105,220,340,135,250,550
