"Ctyua14cd","Bng_x","Bng_y","Long","Lat"
E10000018,458773,310191,52.686231,-1.131977400
E10000019,518053,360218,53.126068,-0.237198090
E10000020,599779,312750,52.675611,0.953596250
E10000021,479257,268708,52.310773,-0.838869540
E10000023,440011,466669,54.094374,-1.389730300
E10000024,466570,361394,53.145541,-1.006172000
E10000025,448985,213181,51.815120,-1.290802600
E10000027,327267,131309,51.076477,-3.039597700
E10000028,398243,325253,52.824804,-2.027516500
E10000029,607880,266089,52.253683,1.044182000
E10000030,512157,153408,51.268799,-0.393708150
E10000031,429584,269323,52.321215,-1.567384600
E10000032,508316,117275,50.944749,-0.459578270
E10000034,385792,257003,52.211060,-2.209352900
W06000001,242891,378659,53.281558,-4.357991800
W06000002,257240,336441,52.906384,-4.124168300
W06000003,283293,362596,53.147680,-3.746469600
W06000004,309843,357879,53.110451,-3.348301600
W06000005,322690,369582,53.217645,-3.159259200
W06000006,329506,345387,53.001143,-3.051880700
W06000008,251316,268437,52.293885,-4.181604400
W06000009,187986,221384,51.850679,-5.079741700
W06000010,249926,223620,51.890873,-4.182225800
W06000011,255534,197185,51.654837,-4.089787400
W06000012,279261,198176,51.669345,-3.747323100
W06000013,287992,185540,51.557586,-3.617084200
W06000014,302528,172994,51.447516,-3.404007700
W06000015,316408,174903,51.466899,-3.204778400
W06000016,302237,197167,51.664748,-3.414922100
W06000018,317245,197757,51.672465,-3.198121900
W06000019,316752,206771,51.753421,-3.207405900
W06000020,327459,200850,51.701684,-3.051089500
W06000021,337812,206144,51.750522,-2.902247400
W06000022,333357,186332,51.571901,-2.962988100
W06000023,302313,270924,52.327683,-3.434868700
W06000024,305916,205460,51.739919,-3.363985500
